,Yield,Growth,Water,Overlap
111,1.3355541889910767,0.022846794183343982,3600,0
112,1.3586189076933848,0.023064718702307994,3600,0
113,1.3823532414823978,0.023734333789013146,3600,0
114,1.4054463016014576,0.023093060119059865,3600,0
115,1.4286314362423607,0.023185134640902914,3600,0
116,1.4515290685710016,0.02289763232864104,3600,0
117,1.474895152255622,0.023366083684620183,3600,0
118,1.4976054743470022,0.022710322091380297,3600,0
119,1.520938078075015,0.023332603728012925,3600,0
120,1.5456485961384536,0.02471051806343868,3600,0
121,1.569281982091662,0.023633385953208238,3600,0
122,1.5934843155523888,0.024202333460726744,3600,0
123,1.6180362422535661,0.02455192670117749,3600,0
124,1.6418307996675532,0.023794557413987005,3600,0
125,1.666443611878251,0.02461281221069788,3600,0
126,1.6916625261305756,0.02521891425232447,3600,0
