,Date,Yield,Growth,Water,Overlap
88,2022-01-04 17:00:00,1.9379446065371664,0.04037002393846013,9991,0
89,2022-01-04 18:00:00,1.9805552727181661,0.042610666180999804,9991,0
90,2022-01-04 19:00:00,2.022860557278296,0.04230528456013012,9991,0
91,2022-01-04 20:00:00,2.0667731725124927,0.04391261523419652,9991,0
92,2022-01-04 21:00:00,2.1091463529743937,0.04237318046190115,9991,0
93,2022-01-04 22:00:00,2.1533577722132193,0.04421141923882536,9991,0
94,2022-01-04 23:00:00,2.1972195040220535,0.0438617318088342,9991,0
95,2022-01-05 00:00:00,2.241876916910252,0.04465741288819862,9991,0
96,2022-01-05 01:00:00,2.286486874141179,0.04460995723092692,9991,0
97,2022-01-05 02:00:00,2.3307485483808525,0.04426167423967357,9991,0
98,2022-01-05 03:00:00,2.3773799235345106,0.04663137515365785,9991,0
99,2022-01-05 04:00:00,2.4232525386288195,0.04587261509430906,9991,0
100,2022-01-05 05:00:00,2.4699976949372426,0.0467451563084232,9991,0
101,2022-01-05 06:00:00,2.5164273612264054,0.046429666289162515,9991,0
102,2022-01-05 07:00:00,2.564321087418275,0.047893726191869684,9991,0
103,2022-01-05 08:00:00,2.611816559239398,0.04749547182112279,9991,0
104,2022-01-05 09:00:00,2.661995645889688,0.05017908665029017,9991,0
105,2022-01-05 10:00:00,2.708768592694554,0.04677294680486592,9991,0
106,2022-01-05 11:00:00,2.7554211545647944,0.0466525618702405,9991,0
107,2022-01-05 12:00:00,2.804567180264275,0.04914602569948102,9991,0
108,2022-01-05 13:00:00,2.8548572115999495,0.050290031335674314,9991,0
109,2022-01-05 14:00:00,2.9055178484375044,0.05066063683755453,9991,0
110,2022-01-05 15:00:00,2.955256296820928,0.04973844838342399,9991,0
111,2022-01-05 16:00:00,3.0055162994859703,0.05026000266504235,9991,0
112,2022-01-05 17:00:00,3.056684178407714,0.05116787892174347,9991,0
113,2022-01-05 18:00:00,3.107698251701354,0.05101407329363978,9991,0
114,2022-01-05 19:00:00,3.159956013789259,0.05225776208790495,9991,0
115,2022-01-05 20:00:00,3.2121330540073174,0.05217704021805832,9991,0
116,2022-01-05 21:00:00,3.266459430106117,0.05432637609879995,9991,0
117,2022-01-05 22:00:00,3.317736766070883,0.05127733596476583,9991,0
118,2022-01-05 23:00:00,3.371169508814144,0.053432742743260916,9991,0
119,2022-01-06 00:00:00,3.4250340974880498,0.05386458867390638,9991,0
120,2022-01-06 01:00:00,3.479040614200466,0.05400651671241524,9991,0
121,2022-01-06 02:00:00,3.535068017628876,0.0560274034284105,9991,0
122,2022-01-06 03:00:00,3.59063518811088,0.05556717048200378,9991,0
123,2022-01-06 04:00:00,3.6457593454942927,0.05512415738341256,9991,0
124,2022-01-06 05:00:00,3.700739186890719,0.05497984139642646,9991,0
125,2022-01-06 06:00:00,3.75581525053944,0.05507606364872067,9991,0
126,2022-01-06 07:00:00,3.8106938953202594,0.05487864478081936,9991,0
127,2022-01-06 08:00:00,3.8664916955446946,0.055797800224435104,9991,0
128,2022-01-06 09:00:00,3.9249491075503014,0.05845741200560697,9991,0
129,2022-01-06 10:00:00,3.98199835136191,0.057049243811608766,9991,0
130,2022-01-06 11:00:00,4.04045406512901,0.05845571376710001,9991,0
131,2022-01-06 12:00:00,4.099235767365052,0.05878170223604153,9991,0
